"名称","No","説明","備考","ファイル名（1枚目）","ファイル名（２枚目）","ファイル名（３枚目）","経度","緯度","分類"
"和歌山城","1","天正13年(1585年)、豊臣秀吉の命を受けて弟の秀長が築城に着手、築城の名人藤堂高虎により建築が勧められました。天正14年（1586年）桑山重晴が城代として入城し、その後慶長５年(1600年)に関ヶ原の戦いで功をたてた浅野幸長が入城しました。元和５年(1619年)には徳川家康の第10子頼宣が入城して55万5千石の紀州徳川家の居城となりました。<br>天守閣は昭和20年（1945年）の和歌山大空襲の際に焼失し、昭和33年（1958年）再建されています。<br>焼失を免れた岡口門（重要文化財）、追廻門や、整備、再建された紅葉谷庭園や御橋廊下、大手門からは当時の面影を偲ぶことができます。2007年、日本の城100選に選ばれました。<br>周辺は和歌山城公園として整備され、動物園などを楽しむことができます。(2010.12.3)","< 料金 > 和歌山城天守閣：大人400円、小人200円<BR>< 時間 > 9：00～17：30（入場は17：00まで）<BR>< 定休日 > 12/29～12/31<BR>< 駐車場 > 和歌山城公園駐車場をご利用ください。（有料）","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/1_2.jpg","135.17155400001","34.2276289998373","きのくに風景讃歌"
"地蔵の辻","3","国道24号と県道有功天王線が交差する地蔵の辻は、古くから交通の要衝で、大和街道へと進む際にはここで一休みしたそうです。<br>この辻には、紀州徳川藩初代藩主頼宣公の母君お萬の方が建立したとされるお地蔵さまがありました。国道の拡幅のため、現在は約200ｍ南へ移転されています。<br>嘉家作りから地蔵の辻までの国道の北側は桜並木になっていて、早咲きの桜があることで有名です。またソメイヨシノが咲き揃うころは壮観です。(2010.12.26)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/3.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/3_1.jpg","","135.186821000062","34.2440999998497","きのくに風景讃歌"
"龍神温泉","8","龍神温泉の泉質は美肌効果があると言われ「日本三美人の湯」の一つに数えられています。国道371号沿いには、伝統ある旅館が並び、公衆浴場の元湯では日帰り入浴ができます。お湯とすぐそばを流れる日高川のせせらぎに身も心も癒されることでしょう。<br>川沿いに宿が並んでいて、宿泊される方は『龍神温泉湯めぐり札』を購入すると他の温泉施設も３カ所まで利用することができます。(2010.11.29)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/8.jpg","","","135.561364999936","33.9559349998995","きのくに風景讃歌"
"公衆浴場龍神温泉元湯","9","龍神温泉街にあり、龍神村内唯一の源泉かけ流しのお湯です。<br>露天風呂からはそばを流れる日高川のせせらぎが聞こえ、夜には星を眺めることもできます。(2010.11.29)","< 料金 > 大人(中学生以上) 700円、小学生 350円、幼児 無料<BR>< 時間 > 7:00～21：00<BR>< 定休日 > なし<BR>< 駐車場 > あり（無料）","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/9.jpg","","","135.561364999936","33.9559349998995","きのくに風景讃歌"
"道の駅 水の郷日高川 龍游（りゅうゆう）","14","国道424号沿いにある道の駅 水の郷日高川　龍游（りゅうゆう）は、日高川の清流が目の前を流れていて、川原に下りることができます。<br>物産販売所やレストラン、木工品を製造販売する木工館もあり、のんびり休憩する人が多い道の駅です。(2010.11.29)","< 時間 > 物産館　9:00～17:00（年中無休）<BR>食　堂　9:00～16:00<BR>※ トイレ・駐車場・公衆電話は24時間利用できます。<BR>< 定休日 > １月･２月･６月･12月の金曜及び12/28～１/１<BR>< 駐車場 > あり(無料）","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/14.jpg","","","135.439313999916","33.8955399999932","きのくに風景讃歌"
"きずな館（旧宮代小学校）","17","2009年統合により閉校となった宮代小学校の校舎が、地域の交流拠点として利用されています。<br>木をふんだんに用いて建てられた校舎はまだ新しく、給食室や音楽教室のかわいいプレートが小学校らしく、懐かしい思いにさせてくれます。(2010.11.29)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/17.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/17_1.jpg","","135.499020000081","33.9140899998812","きのくに風景讃歌"
"岩出大宮神社","19","岩出橋の北詰すぐ西側、鎮守の森に覆われた広い敷地の神社です。創建は712年、熱田神宮より日本武尊（やまとたける）を勧請したことに始まると伝えられています。<br>その後、覚鑁（かくばん）上人根来寺創建の際に、根来寺鎮守の神として総社権現をお祀りしていよいよ栄えました。<br>中世、秀吉の根来攻めの際に社殿を焼失し、領地は10分の１に減らされました。社殿は江戸時代徳川頼宣により再建されましたが、失った旧領地の境界を確認してそこに榊を立てるという民俗学的にも大変珍しい祭り(よみさし祭り)が、10月の第１土曜日の深夜に執り行われています。(2010.12.06) ","< 料金 > 拝観料無料<BR>< 駐車場 > あり","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/19.jpg","","","135.312165999974","34.254059999954","きのくに風景讃歌"
"鞆渕八幡神社","21","真国川(紀ノ川支流)沿いの道から、少し高台に登ったところにあります。創建は不明ですが、この地は古くから石清水八幡宮の荘園でした。その縁から1228年に石清水八幡宮の別宮として勧請され、同年に送られた神輿は国宝に指定されています。また神仏習合の名残をとどめ、境内には神宮司の本堂であった大日堂が残り、本殿とともに重要文化財に指定されています。<br>地元には、鶴姫と神輿の伝説が伝わっています。　(2010.12.06)","< 料金 > 拝観無料<BR>< 駐車場 > あり","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/21.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/21_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/21_2.jpg","135.460138000099","34.2206559998523","きのくに風景讃歌"
"粉河寺","22","西国三十三所観音霊場、第三番札所として良く知られています。創建は寺に伝わる国宝の「粉河寺縁起絵巻」によれば、770年大伴孔子古（おおとものくしこ）が千手観音をお祭りしたことに始まります。11世紀頃から始まった三十三カ所の観音霊場巡りにより鎌倉時代には大変に栄えました。しかし、1585年秀吉により多くの寺院を焼失し、その後江戸時代徳川家と信徒により復興されてきました。本堂、大門、中門、千手堂は国の重要文化財に指定されています。また、大きな石組みを使った庭園は前例を見ない特殊なもので、国の名勝に指定されています。(2010.12.06)<br><br>本堂<br>再建された後も何回か焼失を繰り返し、現在の本堂は徳川吉宗が紀州藩主の時代に再建が開始され、吉宗が第八代将軍となった後の1720年に完成しました。西国三十三箇所の中で特に大きいといわれる4箇所の本堂(粉河寺、長谷寺、清水寺、書写山円教寺)の中でも最大です。江戸時代の代表的な寺院建築です。(2013.1.29)<br><br>本堂屋根下には、軒を支える手挟み（たばさみ）と呼ばれる、精緻で華麗な花の彫刻があります。<br><br>粉河寺庭園<br>桃山時代の枯山水庭園。<br>本堂の立つ敷地と広場の間の3mの高低差を利用して、紀州の名石をダイナミックに配置、石の間にはソテツ・さつき等が植えられています。","< 駐車場 > あり（有料）","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/22.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/22_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/22_2.jpg","135.405903999957","34.2810579999712","きのくに風景讃歌"
"丹生都比売神社","23","鏡池に輪橋(太鼓橋)の優美な姿を映し、壮麗な楼門を仰ぐと、ここが標高450mのひなびた盆地であることを忘れさせる程の荘厳さをたたえる社です。ここ天野の盆地にこの社が創建されたのは非常に古く、社伝によれば1,700年前に遡り、祭神の丹生都比売は天照大神の御妹神と伝えられています。また高野山との関係も深く。弘法大師を高野山に導いた神は、丹生都比売の御子の高野御子大神と言われ、共にお祭りされています。このようないきさつから、かつては寺院の堂塔も多数あり、高野山とは密接な関係を保ってきましたが、明治の神仏分離礼以降現在の姿となりました。本殿・楼門共に国の重要文化財に指定されています。平成16年7月に世界遺産登録されました。(2010.12.06)<br>輪橋(りんきょう)　神様が渡られるための神橋で、一般には太鼓橋と呼ばれる形です。　淀君が寄進したと伝えられています。","< 料金 > 拝観無料<BR>< 駐車場 > あり(無料)","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/23.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/23_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/23_2.jpg","135.521946999929","34.2628209998532","きのくに風景讃歌"
